year,ticker,risk_score
2020,AAPL,1.5361841008471289
2021,AAPL,2.2329687826943605
2022,AAPL,1.0
2023,AAPL,2.5
2020,ABBV,1.6909686573085854
2021,ABBV,1.7633419974582356
2022,ABBV,1.4177446878757822
2023,ABBV,1.8330302779823358
2020,ABNB,1.5634719199411433
2021,ABNB,1.1135528725660042
2022,ABNB,2.0
2023,ABNB,0.4714045207910317
2020,ABT,0.9797958971132712
2021,ABT,2.0052015692526606
2022,ABT,2.628635049264584
2023,ABT,1.699673171197595
2020,ACGL,0.9958591954639383
2021,ACGL,1.8008485654145256
2022,ACGL,2.6851443164195103
2023,ACGL,2.0503857277724746
2020,ACN,1.212878551284212
2021,ACN,2.0976176963403033
2022,ACN,1.0198039027185568
2023,ACN,1.632993161855452
2020,ADBE,1.7371676600978794
2021,ADBE,1.5499570522776833
2022,ADBE,1.4142135623730951
2023,ADBE,1.6072751268321592
2020,ADI,1.9321835661585918
2021,ADI,1.9499920860871383
2022,ADI,2.1081851067789192
2023,ADI,1.247219128924647
2020,ADM,2.104697618689132
2021,ADM,1.0671873729054748
2022,ADM,1.6659862556700857
2023,ADM,2.0591260281974
2020,ADP,2.0
2021,ADP,1.3437096247164249
2022,ADP,2.0615528128088303
2023,ADP,1.5275252316519468
2020,ADSK,1.8666480653835098
2021,ADSK,1.863389981249825
2022,ADSK,1.5640591394622958
2023,ADSK,0.4330127018922193
2020,AEE,1.842856989474905
2021,AEE,1.4229164972072998
2022,AEE,2.244994432064365
2023,AEE,0.5
2023,AEP,1.5
2020,AES,0.7483314773547882
2021,AES,1.418912826592055
2022,AES,1.57797338380595
2023,AES,0.9428090415820634
2021,AFL,1.3437096247164249
2022,AFL,1.632993161855452
2023,AFL,1.0
2020,AIG,1.178511301977579
2021,AIG,1.674979270186815
2022,AIG,1.950783318453271
2023,AIG,2.1314806770278754
2020,AIZ,2.255009126937381
2021,AIZ,1.1709371246996996
2022,AIZ,1.7716909687891083
2023,AIZ,0.7071067811865476
2020,AJG,2.117634293262177
2021,AJG,2.034425935955617
2022,AJG,2.217355782608345
2023,AJG,1.0
2020,AKAM,1.6109131951517592
2021,AKAM,1.5587661999529316
2022,AKAM,1.9116278371205837
2023,AKAM,0.5
2020,ALB,3.0912061651652345
2021,ALB,0.4714045207910317
2022,ALB,2.165063509461097
2023,ALB,1.5
2020,ALGN,1.49071198499986
2021,ALGN,2.065261756400137
2022,ALGN,1.8294640678379568
2023,ALGN,1.355261854357877
2020,ALLE,2.2325713874364688
2021,ALLE,1.972308292331602
2022,ALLE,2.7128168017763383
2023,ALLE,0.7453559924999298
2020,ALL,1.4142135623730951
2021,ALL,1.227262335243029
2022,ALL,1.4982983545287878
2023,ALL,0.6324555320336759
2020,AMAT,2.118962010041709
2021,AMAT,1.1547005383792515
2022,AMAT,0.4714045207910317
2023,AMAT,0.0
2021,AMCR,2.272142107744467
2022,AMCR,2.179449471770337
2023,AMCR,0.9428090415820632
2020,AMD,1.860074338087023
2021,AMD,1.8360538526960477
2022,AMD,2.095351013021111
2023,AMD,1.8330302779823362
2020,AME,1.4024771473219557
2021,AME,1.7371676600978794
2022,AME,1.7320508075688772
2023,AME,2.0
2020,AMGN,1.1570838237598051
2021,AMGN,2.271511240035908
2022,AMGN,1.1547005383792515
2023,AMGN,0.39999999999999997
2020,AMP,1.5
2021,AMP,1.42828568570857
2022,AMP,2.6076809620810595
2023,AMP,2.1213203435596424
2020,AMT,0.9165151389911681
2021,AMT,1.5634719199411433
2022,AMT,1.8856180831641267
2023,AMT,0.0
2020,AMZN,2.0
2021,AMZN,1.7853571071357126
2022,AMZN,1.224744871391589
2023,AMZN,0.8944271909999159
2020,ANET,2.260776661041756
2021,ANET,2.449489742783178
2022,ANET,2.0548046676563256
2023,ANET,1.699673171197595
2020,ANSS,1.503329637837291
